CountryCode,biomass_msw,biomass_shell,biomass_fats,biomass_forest,manure,biomass_agr
ALB,0.222222222,0.298690595,0.027886488,0.583333333,0.17782958,0.937201211
AUT,1.638888889,0.150564986,0.013679028,7,0.661697571,8.24490684
BEL,8.111111111,0.007780289,0.035830716,2.25,0.732777307,2.823214432
BGR,0.722222222,0.143270273,0.067227397,2.722222222,0.17827321,8.67663158
BIH,0,0.175619295,0.020660453,0,0.208068111,0.996707873
CHE,5.888888889,0.029607939,0.008705869,4.25,0.635478514,7.433094062
CYP,0.527777778,0.048725036,0.003481804,0,0.016229654,0.038863408
CZE,0.805555556,0.042273881,0.047583244,4.833333333,0.360673458,7.406995977
DEU,21.22222222,0.100367013,0.001373108,24.69444444,3.215082026,45.15363013
DNK,5.444444444,0.006148724,0.000167199,1.388888889,0.976499678,6.703450621
ESP,6.277777778,23.20580136,0.59287824,7.666666667,2.670322039,28.98325857
EST,0.722222222,0.000168587,0.009906436,2.083333333,0.065165136,0.716091685
FIN,2.777777778,0,0.004424049,12.77777778,0.271805414,2.99078242
FRA,18.38888889,0.709564993,0.257675611,13.63888889,3.95514516,51.8146742
GBR,0,0,0.210772275,2.138888889,1.937380634,18.3030632
GRC,0.638888889,6.030622369,0.005972784,0.666666667,0.220223448,8.646279822
HRV,0.027777778,0.186419382,0.079377111,1.111111111,0.161648871,2.072714354
HUN,1.944444444,0.132716563,0.014962104,3.694444444,0.401492423,9.295993508
IRL,0.472222222,0,0.000638461,1.333333333,0.918194737,1.7272058
ISL,0.222222222,0,0.021239774,0,0.020337878,1.96E-05
ITA,7.083333333,11.40913884,0.004274796,9.388888889,1.769427572,21.17921109
LTU,0.305555556,0.001676351,0.024050309,2.333333333,0.232955537,2.935791974
LUX,0.027777778,7.02E-05,2.82E-05,0.194444444,0.013575171,0.012484725
LVA,0.166666667,0.000088333,0.029089296,4.722222222,0.098342923,1.433846437
MKD,0.25,0,0,0.444444444,0,0
MNE,0,0.115538048,2.49E-05,1.666666667,0.096038992,0.526488429
NLD,10.36111111,0.003120487,0.192016627,0.5,1.504428044,1.398577687
NOR,5.555555556,0.00198292,1.961072067,5.555555556,0.169353814,1.183663498
POL,5.638888889,0.274355414,0.204984173,13.72222222,2.560175764,18.6623293
PRT,2.694444444,1.53749211,0.093459033,4.222222222,0.414588328,1.722531033
ROU,1.861111111,1.174770951,0.028925525,11.11111111,0.985103203,15.41137652
SRB,3.472222222,0.588385879,0.16497605,1.972222222,0.566899254,8.27568072
SVK,0.833333333,0.005891841,0.009014624,2.722222222,0.13173585,3.054853355
SVN,0.222222222,0.014109292,0,2.472222222,0.041988743,0.033949072
SWE,6.416666667,0.000770578,0.131668481,20.27777778,0.31968952,3.746413991
total/low,120.9444444,46.39573253,4.268026232,174.1388889,26.68862756,292.5419771
total/high,263.9444,46.39573253,4.268026232,2086.1389,33.36078446,438.8129657
,jrc,solm,solm,jrc,solm,solm